Issue,Date,Words,Title,Author
Vol. 2 No. 14,17 July 1980,1502,"Astrid, Clio and Julia",Alan Bell
Vol. 2 No. 14,17 July 1980,1965,American Masturbation,Alan Coren
Vol. 2 No. 14,17 July 1980,1934,Language Questions,Barbara Strang
Vol. 2 No. 14,17 July 1980,1982,Modern Discontent,Bernard Williams
Vol. 2 No. 14,17 July 1980,1651,Image-Makers and Image-Buyers,Bob Scribner
Vol. 2 No. 14,17 July 1980,177,Poem: ‘Today’,Derwent May
Vol. 2 No. 14,17 July 1980,1082,Smart Girls,Emma Tennant
Vol. 2 No. 14,17 July 1980,2449,Joseph Conrad’s Flight from Poland,Frank Kermode
Vol. 2 No. 14,17 July 1980,2089,New Guardians of Education,Gillian Avery
Vol. 2 No. 14,17 July 1980,1792,"Gordon Haight’s speech in Westminster Abbey on 21 June, when a memorial stone to George Eliot was unveiled",Gordon Haight
Vol. 2 No. 14,17 July 1980,253,Poem: ‘Sonny Jim in Love’,Hugo Williams
Vol. 2 No. 14,17 July 1980,2251,Orphans,Joan Aiken
Vol. 2 No. 14,17 July 1980,4231,Pseud’s Corner,John Sutherland
Vol. 2 No. 14,17 July 1980,1944,Unhappy Mothers,Judy Dunn
Vol. 2 No. 14,17 July 1980,1811,Childern’s Fiction and the Past,Nicholas Tucker
Vol. 2 No. 14,17 July 1980,2908,New Women,Patricia Beer
Vol. 2 No. 14,17 July 1980,3371,Year of the Viking,Patrick Wormald
Vol. 2 No. 14,17 July 1980,1924,For Church and State,Paul Addison
Vol. 2 No. 14,17 July 1980,3653,Peter Conrad’s Flight from Precision,Richard Poirier
